pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,hot_spot_stress,frequency,max_deformation,x_deformation_position,y_deformation_position,z_deformation_position,support_right,support_left,support,ratio,allowable_deformation
50,STD,150,60.3,3399.0,4008.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,39.357,4.2776,9.0793,-274.81,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.347,12.227
50,STD,150,60.3,1561.0,3622.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,16.071,9.2644,2.3007,-834.88,12.657,26.284,Fixed,Fixed,Fixed_Fixed,3.298,7.587
50,STD,150,60.3,3157.0,2262.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,28.163,7.4465,3.3975,337.75,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.882,6.394
50,STD,300,60.3,526.0,1836.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,4.428,35.5462,0.13447,-495.2,0.0,30.15,Fixed,Fixed,Fixed_Fixed,11.969,1.61
50,STD,300,60.3,3569.0,4851.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,40.291,2.9899,12.973,-491.81,24.522,11.809,Fixed,Fixed,Fixed_Fixed,1.315,17.065
50,STD,300,60.3,1707.0,3691.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,18.453,7.1885,2.7099,-731.48,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,2.872,7.783
50,STD,300,60.3,1078.0,2851.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,11.054,13.3347,0.89033,-673.43,0.0,30.15,Fixed,Fixed,Fixed_Fixed,4.795,4.269
50,STD,300,60.3,1862.0,786.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,8.935,23.9387,0.27733,377.42,0.0,30.15,Fixed,Fixed,Fixed_Fixed,5.932,1.645
50,STD,600,60.3,1078.0,3081.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,12.367,11.0916,0.98329,-725.68,0.0,30.15,Fixed,Fixed,Fixed_Fixed,4.286,4.214
50,STD,600,60.3,4599.0,3187.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,42.928,3.0302,10.026,529.3,16.97,21.279,Fixed,Fixed,Fixed_Fixed,1.235,12.378
50,STD,600,60.3,1635.0,4763.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,16.89,5.5066,3.598,-1197.6,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,3.138,11.29
50,STD,600,60.3,806.0,2626.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,8.631,16.3512,0.48133,-658.92,0.0,30.15,Fixed,Fixed,Fixed_Fixed,6.141,2.956
50,STD,600,60.3,850.0,2913.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,8.595,14.5323,0.61364,-786.08,0.0,-30.15,Fixed,Fixed,Fixed_Fixed,6.166,3.784
50,STD,150,60.3,3851.0,4412.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,43.115,3.7375,12.667,-238.91,24.522,11.809,Fixed,Fixed,Fixed_Fixed,1.229,15.571
50,STD,150,60.3,4243.0,434.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,2.338,16.4262,0.2664,1904.7,6.274,27.488,Fixed,Fixed,Fixed_Fixed,22.669,6.039
50,STD,150,60.3,467.0,4011.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,2.688,17.7504,0.29372,-1763.2,0.0,30.15,Fixed,Fixed,Fixed_Fixed,19.717,5.791
50,STD,150,60.3,871.0,1521.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,10.567,33.0877,0.25564,-240.46,0.0,30.15,Fixed,Fixed,Fixed_Fixed,5.016,1.282
50,STD,150,60.3,4488.0,1055.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,1.817,10.5006,1.5734,1587.0,16.97,21.279,Fixed,Fixed,Fixed_Fixed,29.169,45.894
50,STD,300,60.3,2721.0,416.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,1.713,32.6223,0.17359,1066.5,0.0,30.15,Fixed,Fixed,Fixed_Fixed,30.94,5.371
50,STD,300,60.3,4645.0,4448.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,46.114,2.7514,17.022,133.96,11.809,24.522,Fixed,Fixed,Fixed_Fixed,1.149,19.564
50,STD,300,60.3,3032.0,2812.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,30.299,5.8026,4.4443,112.73,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.749,7.774
50,STD,300,60.3,3934.0,3732.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,39.283,3.6779,10.147,124.6,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.349,13.69
50,STD,300,60.3,2287.0,2123.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,22.973,9.2433,1.8801,102.93,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.307,4.337
50,STD,600,60.3,4180.0,2058.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,27.033,5.278,4.3574,760.92,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,1.961,8.543
50,STD,600,60.3,2111.0,1879.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,23.413,9.4954,1.3693,117.25,6.709,29.394,Fixed,Fixed,Fixed_Fixed,2.264,3.1
50,STD,600,60.3,1965.0,615.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,6.848,27.9617,0.19904,497.78,0.0,30.15,Fixed,Fixed,Fixed_Fixed,7.739,1.54
50,STD,600,60.3,2312.0,419.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,1.883,35.8209,0.13958,798.79,0.0,30.15,Fixed,Fixed,Fixed_Fixed,28.147,3.929
50,STD,600,60.3,2157.0,3875.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,27.327,5.3415,4.2155,-619.67,6.709,29.394,Fixed,Fixed,Fixed_Fixed,1.939,8.176
50,STD,150,60.3,4270.0,4872.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,49.067,2.8253,17.244,-257.06,11.809,24.522,Fixed,Fixed,Fixed_Fixed,1.08,18.626
50,STD,150,60.3,2057.0,2780.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,25.123,8.4486,2.4269,-270.85,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,2.11,5.12
50,STD,150,60.3,2046.0,3459.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,24.521,7.1528,3.3164,-511.55,6.709,29.394,Fixed,Fixed,Fixed_Fixed,2.161,7.168
50,STD,150,60.3,2255.0,1608.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,20.584,12.3334,1.2093,231.48,6.709,29.394,Fixed,Fixed,Fixed_Fixed,2.575,3.114
50,STD,150,60.3,2295.0,4184.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,26.532,5.5428,5.2322,-704.5,6.274,27.488,Fixed,Fixed,Fixed_Fixed,1.998,10.452
50,STD,300,60.3,3415.0,4196.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,38.657,3.2701,9.7809,-279.92,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.371,13.41
50,STD,300,60.3,1192.0,1080.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,10.556,22.636,0.21948,81.167,0.0,30.15,Fixed,Fixed,Fixed_Fixed,5.021,1.102
50,STD,300,60.3,3696.0,4200.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,40.876,3.0544,11.057,-182.39,21.279,16.97,Fixed,Fixed,Fixed_Fixed,1.297,14.337
50,STD,300,60.3,1492.0,3454.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,16.296,8.0148,1.9772,-726.8,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,3.252,6.431
50,STD,300,60.3,4825.0,933.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,1.454,9.2175,1.4474,1756.5,11.809,24.522,Fixed,Fixed,Fixed_Fixed,36.451,52.759
50,STD,600,60.3,924.0,395.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,2.337,54.042,0.014956,198.09,0.0,30.15,Fixed,Fixed,Fixed_Fixed,22.679,0.339
50,STD,600,60.3,4092.0,1857.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,25.199,5.0432,3.5609,807.09,6.709,29.394,Fixed,Fixed,Fixed_Fixed,2.103,7.489
50,STD,600,60.3,1968.0,3650.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,25.799,5.1467,3.3268,-587.52,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,2.054,6.834
50,STD,600,60.3,698.0,1848.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,8.053,21.4051,0.21033,-408.56,6.709,29.394,Fixed,Fixed,Fixed_Fixed,6.581,1.384
50,STD,600,60.3,3736.0,4202.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,46.985,2.63,11.224,-185.66,11.809,24.522,Fixed,Fixed,Fixed_Fixed,1.128,12.661
50,80,150,60.3,4984.0,4533.0,5.54,0.0,1.5,63.5,76.2,17.6,45.95,26.635,3.5578,14.758,263.05,5.7844,25.343,Fixed,Fixed,Fixed_Fixed,1.99,29.366
