Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,80,150,60.3,345.0,4581.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,122
50,80,150,60.3,1417.0,4331.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,123
50,80,150,60.3,2471.0,1634.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,124
50,80,150,60.3,3897.0,2502.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,125
50,80,300,60.3,4871.0,4133.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,126
50,80,300,60.3,4605.0,3629.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,127
50,80,300,60.3,3061.0,312.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,128
50,80,300,60.3,2389.0,1792.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,129
50,80,300,60.3,2373.0,1806.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,130
50,80,600,60.3,3562.0,1730.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,131
50,80,600,60.3,3715.0,1594.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,132
50,80,600,60.3,3753.0,1042.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,133
50,80,600,60.3,2106.0,1617.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,134
50,80,600,60.3,4743.0,4184.0,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,135
50,80,150,60.3,4030.0,3857.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,136
50,80,150,60.3,1512.0,1941.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,137
50,80,150,60.3,3291.0,2528.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,138
50,80,150,60.3,4272.0,614.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,139
50,80,150,60.3,337.0,3289.0,5.54,17.0,1.5,63.5,76.2,17.6,45.95,140
50,80,300,60.3,662.0,3190.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,141
50,80,300,60.3,4950.0,822.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,142
50,80,300,60.3,4018.0,1047.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,143
50,80,300,60.3,3763.0,4200.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,144
50,80,300,60.3,4372.0,2726.0,5.54,30.0,1.5,69.9,82.55,20.9,45.95,145
50,80,600,60.3,1385.0,1033.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,146
50,80,600,60.3,796.0,2394.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,147
50,80,600,60.3,3792.0,2725.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,148
50,80,600,60.3,2533.0,4130.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,149
50,80,600,60.3,3870.0,1963.0,5.54,45.0,6.4,73.2,82.55,25.4,45.95,150
50,80,150,60.3,2584.0,921.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,151
50,80,150,60.3,1597.0,1206.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,152
50,80,150,60.3,2094.0,991.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,153
50,80,150,60.3,3478.0,535.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,154
50,80,150,60.3,3761.0,1693.0,5.54,12.75,1.5,63.5,76.2,17.6,45.95,155
50,80,300,60.3,4862.0,2343.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,156
50,80,300,60.3,3502.0,3505.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,157
50,80,300,60.3,2605.0,1568.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,158
50,80,300,60.3,903.0,1913.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,159
50,80,300,60.3,2668.0,2617.0,5.54,22.5,1.5,69.9,82.55,20.9,45.95,160
50,80,600,60.3,2225.0,747.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,161
50,80,600,60.3,1501.0,567.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,162
50,80,600,60.3,3205.0,1348.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,163
50,80,600,60.3,4507.0,4334.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,164
50,80,600,60.3,3437.0,384.0,5.54,33.75,6.4,73.2,82.55,25.4,45.95,165
50,80,150,60.3,3007.0,2807.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,166
50,80,150,60.3,3349.0,4799.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,167
50,80,150,60.3,4817.0,1962.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,168
50,80,150,60.3,4363.0,1299.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,169
50,80,150,60.3,3979.0,1155.0,5.54,21.25,1.5,63.5,76.2,17.6,45.95,170
50,80,300,60.3,1762.0,3277.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,171
50,80,300,60.3,1578.0,1510.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,172
50,80,300,60.3,4800.0,1793.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,173
50,80,300,60.3,2727.0,1536.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,174
50,80,300,60.3,2262.0,4291.0,5.54,37.5,1.5,69.9,82.55,20.9,45.95,175
50,80,600,60.3,3303.0,4036.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,176
50,80,600,60.3,3541.0,1243.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,177
50,80,600,60.3,3912.0,2741.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,178
50,80,600,60.3,2381.0,3958.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,179
50,80,600,60.3,4771.0,1415.0,5.54,56.25,6.4,73.2,82.55,25.4,45.95,180
50,XS,150,60.3,2804.0,748.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,181
50,XS,150,60.3,1774.0,4339.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,182
50,XS,150,60.3,1257.0,3933.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,183
50,XS,150,60.3,4931.0,1586.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,184
50,XS,150,60.3,2499.0,3733.0,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,185
50,XS,300,60.3,3604.0,970.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,186
50,XS,300,60.3,1027.0,4509.0,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,187
