pipe_dn,pipe_schedule,flange_class,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,frequency,x_deformation_position,y_deformation_position,z_deformation_position,support,allowable_deformation
50,80,300,903,1913,5.54,22.5,1.5,69.9,82.55,20.9,45.95,24.7258,-381.7,0,30.15,Fixed_Fixed,2.482
50,80,300,2668,2617,5.54,22.5,1.5,69.9,82.55,20.9,45.95,7.4411,69.9,0,30.15,Fixed_Fixed,8.005
50,80,600,2225,747,5.54,33.75,6.4,73.2,82.55,25.4,45.95,23.4158,566.53,6.709,29.394,Fixed_Fixed,2.764
50,80,600,1501,567,5.54,33.75,6.4,73.2,82.55,25.4,45.95,39.5184,337.33,0,30.15,Fixed_Fixed,1.175
50,80,600,3205,1348,5.54,33.75,6.4,73.2,82.55,25.4,45.95,10.333,718.2,6.0926,26.694,Fixed_Fixed,6.239
50,80,600,4507,4334,5.54,33.75,6.4,73.2,82.55,25.4,45.95,2.7826,107.87,16.208,20.324,Fixed_Fixed,21.036
50,80,600,3437,384,5.54,33.75,6.4,73.2,82.55,25.4,45.95,23.4267,1489.2,6.4008,28.044,Fixed_Fixed,4.961
50,80,150,3007,2807,5.54,21.25,1.5,63.5,76.2,17.6,45.95,6.5497,107.7,6.709,29.394,Fixed_Fixed,9.324
50,80,150,3349,4799,5.54,21.25,1.5,63.5,76.2,17.6,45.95,3.7581,-601.16,6.4008,28.044,Fixed_Fixed,20.221
50,80,150,4817,1962,5.54,21.25,1.5,63.5,76.2,17.6,45.95,5.9367,1202.1,0,30.15,Fixed_Fixed,18.404
50,80,150,4363,1299,5.54,21.25,1.5,63.5,76.2,17.6,45.95,9.0997,1375.9,5.7844,25.343,Fixed_Fixed,20.335
50,80,150,3979,1155,5.54,21.25,1.5,63.5,76.2,17.6,45.95,10.9722,1259,11.279,23.421,Fixed_Fixed,16.653
50,80,300,1762,3277,5.54,37.5,1.5,69.9,82.55,20.9,45.95,7.7766,-570.92,0,30.15,Fixed_Fixed,7.927
50,80,300,1578,1510,5.54,37.5,1.5,69.9,82.55,20.9,45.95,15.4677,69.9,0,30.15,Fixed_Fixed,2.61
50,80,300,4800,1793,5.54,37.5,1.5,69.9,82.55,20.9,45.95,5.6839,1202.9,11.88,24.669,Fixed_Fixed,16.976
50,80,300,2727,1536,5.54,37.5,1.5,69.9,82.55,20.9,45.95,10.0939,422.67,5.7844,25.343,Fixed_Fixed,5.247
50,80,300,2262,4291,5.54,37.5,1.5,69.9,82.55,20.9,45.95,5.0414,-778.03,6.0926,26.694,Fixed_Fixed,14.032
50,80,600,3303,4036,5.54,56.25,6.4,73.2,82.55,25.4,45.95,3.3164,-276.6,6.709,29.394,Fixed_Fixed,14.182
50,80,600,3541,1243,5.54,56.25,6.4,73.2,82.55,25.4,45.95,8.9805,869.04,0,30.15,Fixed_Fixed,7.095
50,80,600,3912,2741,5.54,56.25,6.4,73.2,82.55,25.4,45.95,3.9963,414.15,6.709,29.394,Fixed_Fixed,11.52
50,80,600,2381,3958,5.54,56.25,6.4,73.2,82.55,25.4,45.95,4.4962,-540.56,6.709,29.394,Fixed_Fixed,11.184
50,80,600,4771,1415,5.54,56.25,6.4,73.2,82.55,25.4,45.95,6.3739,1353.8,11.279,23.421,Fixed_Fixed,15.393
50,XS,150,2804,748,5.54,0,1.5,63.5,76.2,17.6,45.95,26.3379,990.6,6.709,29.394,Fixed_Fixed,26.124
50,XS,150,1774,4339,5.54,0,1.5,63.5,76.2,17.6,45.95,8.7842,-1233.6,6.709,29.394,Fixed_Fixed,23.346
50,XS,150,1257,3933,5.54,0,1.5,63.5,76.2,17.6,45.95,12.359,-1287,12.481,25.916,Fixed_Fixed,30.967
50,XS,150,4931,1586,5.54,0,1.5,63.5,76.2,17.6,45.95,7.9152,1601.6,6.709,29.394,Fixed_Fixed,51.547
50,XS,150,2499,3733,5.54,0,1.5,63.5,76.2,17.6,45.95,8.1047,-572.83,0,30.15,Fixed_Fixed,14.014
50,XS,300,3604,970,5.54,0,1.5,69.9,82.55,20.9,45.95,15.8541,1264.4,0,30.15,Fixed_Fixed,44.495
50,XS,300,1027,4509,5.54,0,1.5,69.9,82.55,20.9,45.95,11.0892,-1691.8,6.0926,26.694,Fixed_Fixed,42.912
50,XS,300,3736,617,5.54,0,1.5,69.9,82.55,20.9,45.95,18.2427,1562.5,0,30.15,Fixed_Fixed,10.984
50,XS,300,3405,2592,5.54,0,1.5,69.9,82.55,20.9,45.95,8.3463,366.78,6.4008,28.044,Fixed_Fixed,11.988
50,XS,300,3761,2445,5.54,0,1.5,69.9,82.55,20.9,45.95,7.9247,628.27,5.7844,25.343,Fixed_Fixed,13.783
50,XS,600,4561,1267,5.54,0,6.4,73.2,82.55,25.4,45.95,9.7718,1589.1,6.4008,28.044,Fixed_Fixed,61.018
50,XS,600,4029,1352,5.54,0,6.4,73.2,82.55,25.4,45.95,11.1268,1281,17.935,22.489,Fixed_Fixed,21.853
50,XS,600,2156,781,5.54,0,6.4,73.2,82.55,25.4,45.95,34.3795,621.66,0,30.15,Fixed_Fixed,4.106
