Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,80,150,60.3,637,2734,5.54,21.25,1.5,63.5,76.2,17.6,45.95,166
50,80,150,60.3,1488,2021,5.54,21.25,1.5,63.5,76.2,17.6,45.95,167
50,80,150,60.3,306,866,5.54,21.25,1.5,63.5,76.2,17.6,45.95,168
50,80,150,60.3,1561,2416,5.54,21.25,1.5,63.5,76.2,17.6,45.95,169
50,80,150,60.3,1020,599,5.54,21.25,1.5,63.5,76.2,17.6,45.95,170
50,80,300,60.3,1396,1869,5.54,37.5,1.5,69.9,82.55,20.9,45.95,171
50,80,300,60.3,2136,2618,5.54,37.5,1.5,69.9,82.55,20.9,45.95,172
50,80,300,60.3,1585,1300,5.54,37.5,1.5,69.9,82.55,20.9,45.95,173
50,80,300,60.3,796,1218,5.54,37.5,1.5,69.9,82.55,20.9,45.95,174
50,80,300,60.3,1290,421,5.54,37.5,1.5,69.9,82.55,20.9,45.95,175
50,80,600,60.3,2552,2339,5.54,56.25,6.4,73.2,82.55,25.4,45.95,176
50,80,600,60.3,2887,2467,5.54,56.25,6.4,73.2,82.55,25.4,45.95,177
50,80,600,60.3,700,1289,5.54,56.25,6.4,73.2,82.55,25.4,45.95,178
50,80,600,60.3,673,551,5.54,56.25,6.4,73.2,82.55,25.4,45.95,179
50,80,600,60.3,930,670,5.54,56.25,6.4,73.2,82.55,25.4,45.95,180
50,XS,150,60.3,1847,1039,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,181
50,XS,150,60.3,1768,1425,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,182
50,XS,150,60.3,1386,350,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,183
50,XS,150,60.3,856,476,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,184
50,XS,150,60.3,2216,604,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,185
50,XS,300,60.3,766,2521,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,186
50,XS,300,60.3,1441,2507,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,187
50,XS,300,60.3,898,2234,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,188
50,XS,300,60.3,445,1456,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,189
50,XS,300,60.3,401,2359,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,190
50,XS,600,60.3,2910,1837,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,191
50,XS,600,60.3,2719,1776,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,192
50,XS,600,60.3,2221,968,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,193
50,XS,600,60.3,602,410,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,194
50,XS,600,60.3,2169,1539,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,195
50,XS,150,60.3,614,516,5.54,17,1.5,63.5,76.2,17.6,45.95,196
50,XS,150,60.3,1054,1099,5.54,17,1.5,63.5,76.2,17.6,45.95,197
50,XS,150,60.3,1957,320,5.54,17,1.5,63.5,76.2,17.6,45.95,198
50,XS,150,60.3,2709,1286,5.54,17,1.5,63.5,76.2,17.6,45.95,199
50,XS,150,60.3,2835,470,5.54,17,1.5,63.5,76.2,17.6,45.95,200
50,XS,300,60.3,482,307,5.54,30,1.5,69.9,82.55,20.9,45.95,201
50,XS,300,60.3,936,2084,5.54,30,1.5,69.9,82.55,20.9,45.95,202
50,XS,300,60.3,2105,2943,5.54,30,1.5,69.9,82.55,20.9,45.95,203
50,XS,300,60.3,311,1777,5.54,30,1.5,69.9,82.55,20.9,45.95,204
50,XS,300,60.3,2384,534,5.54,30,1.5,69.9,82.55,20.9,45.95,205
50,XS,600,60.3,1957,1006,5.54,45,6.4,73.2,82.55,25.4,45.95,206
