File Name,Max Deformation Y,X,Y,Z
1097,0.14849,449.38,11.304,49.526
1098,0.00057796,142.57,0.0,50.8
1099,1.1891,-151.04,11.304,49.526
11,1.6422,163.48,6.0565,26.535
110,11.276,-361.45,24.522,11.809
1100,1.2776,-717.46,19.412,40.309
1101,0.077583,1504.6,0.0,-50.8
1102,0.10253,1160.0,11.304,-49.526
1103,2.3284,403.32,0.0,50.8
1104,0.8688,-131.58,0.0,50.8
1105,0.60027,532.44,0.0,50.8
1106,0.0017765,-301.11,0.0,50.8
1107,0.1575,803.13,0.0,50.8
1108,0.44724,-1395.9,0.0,50.8
1109,0.91703,983.18,0.0,50.8
111,18.66,213.03,6.274,27.488
1110,1.2885,257.81,20.288,42.129
1111,1.527,-522.01,10.855,47.557
1112,0.048641,441.86,0.0,50.8
1113,0.91208,352.53,0.0,50.8
1114,2.8557,707.86,9.9556,43.618
1115,0.24452,-1004.6,11.304,49.526
1116,0.70638,-1260.1,0.0,50.8
1117,1.2363,-391.79,9.9556,43.618
1118,0.002477,-130.41,0.0,50.8
1119,0.055119,-948.86,0.0,-50.8
112,0.38907,220.94,0.0,30.15
1120,0.43827,81.0,0.0,-50.8
1121,0.053975,541.58,0.0,50.8
1122,1.7355,1365.0,19.412,40.309
1123,1.2507,1478.8,11.304,49.526
1124,1.6274,1241.5,9.9556,43.618
1125,1.733,1011.8,9.9556,43.618
1126,3.0234,952.92,10.405,45.588
1127,4.0738,791.66,11.304,49.526
1128,1.0194,1183.3,11.304,49.526
1129,0.1065,1723.6,11.304,49.526
113,20.678,325.35,6.274,27.488
1130,1.372,848.98,11.304,49.526
1131,2.0848,81.0,0.0,50.8
1132,2.0518,909.38,21.165,43.949
1133,2.505,81.0,0.0,50.8
1134,0.8946,-264.79,0.0,50.8
1135,1.6754,-421.86,9.9556,43.618
1136,0.26825,-1163.0,11.304,49.526
1137,0.92006,149.48,0.0,50.8
1138,0.32959,-1149.5,0.0,50.8
1139,1.2911,751.98,11.304,49.526
114,4.6193,-457.92,0.0,30.15
1140,1.9605,-320.93,9.9556,43.618
1141,0.031887,76.2,0.0,-57.15
1142,0.56072,-82.22,49.848,11.377
1143,1.1302,-844.71,11.712,51.315
1144,1.0292,663.25,0.0,-57.15
1145,0.086296,-902.91,0.0,-57.15
1146,1.3886,1580.8,22.837,47.422
1147,0.080385,-216.93,0.0,57.15
1148,1.2121,-290.3,11.712,51.315
1149,0.80097,1191.1,0.0,57.15
115,2.0186,2350.4,6.0565,26.535
1150,0.80662,994.44,0.0,57.15
1151,2.3737,101.6,0.0,57.15
1152,0.87623,-824.7,0.0,57.15
1153,0.45333,-578.91,0.0,-57.15
1154,0.72073,690.9,0.0,-57.15
1155,1.1195,101.6,0.0,-57.15
1156,2.701,76.2,0.0,-57.15
1157,0.10348,23.9,0.0,-114.3
1158,0.55368,1666.1,0.0,-57.15
1159,1.2005,344.54,24.143,50.134
116,0.025057,278.75,0.0,-30.15
1160,0.95077,805.38,0.0,57.15
1161,0.031067,678.35,0.0,-57.15
1162,0.19723,-403.41,0.0,57.15
1163,0.78849,505.19,0.0,57.15
1164,1.7187,503.26,0.0,57.15
1165,0.28227,1442.5,0.0,57.15
1166,0.27145,101.6,0.0,-57.15
1167,0.11294,-452.81,0.0,-57.15
1168,0.31082,1179.4,0.0,-57.15
1169,0.75337,-871.21,0.0,-57.15
117,5.5927,1309.0,0.0,30.15
1170,1.3405,954.1,11.712,51.315
1171,0.50352,-297.59,0.0,57.15
1172,0.082324,-23.9,0.0,-114.3
1173,0.051463,-666.41,0.0,-57.15
1174,1.6616,1246.7,11.712,51.315
1175,0.080762,76.2,0.0,-57.15
1176,0.66997,305.76,0.0,57.15
1177,0.01308,276.56,0.0,57.15
1178,1.1974,306.72,23.49,48.778
1179,0.014895,1873.4,0.0,57.15
118,7.2019,-289.78,0.0,30.15
1180,0.17435,2036.2,12.047,52.783
1181,0.013491,1074.0,0.0,-57.15
1182,0.022526,104.01,48.261,-16.887
1183,0.20261,101.6,0.0,-57.15
1184,1.6013,-272.7,32.817,41.152
1185,1.8726,511.77,24.143,50.134
1186,0.15192,-246.13,0.0,-57.15
1187,0.65492,76.2,0.0,-57.15
1188,0.10993,1361.3,12.717,-55.717
1189,0.53272,1201.5,0.0,-57.15
119,0.44755,-285.45,0.0,30.15
1190,0.62143,76.2,0.0,-57.15
1191,0.0057173,611.95,0.0,57.15
1192,1.8147,452.04,23.49,48.778
1193,1.1894,356.43,22.837,47.422
1194,2.688,690.61,0.0,57.15
1195,0.32487,1364.6,0.0,57.15
1196,0.70228,-378.65,0.0,57.15
1197,0.35775,428.06,0.0,-57.15
1198,0.80875,329.93,0.0,57.15
1199,0.99168,-300.59,0.0,57.15
12,15.201,598.15,21.279,16.97
120,20.932,331.2,6.274,27.488
1200,2.6265,784.32,0.0,57.15
1201,0.94344,76.2,43.779,-36.735
1202,0.19052,964.15,12.717,-55.717
1203,1.7487,1139.3,12.717,55.717
1204,0.30877,-1188.2,0.0,-57.15
1205,2.7495,1114.0,0.0,57.15
1206,0.50625,1189.5,0.0,57.15
1207,1.3106,518.55,23.49,48.778
1208,0.026511,-247.52,0.0,57.15
1209,1.6198,764.68,12.382,54.25
121,26.308,974.43,6.709,29.394
1210,0.2962,519.49,0.0,57.15
1211,0.48724,447.93,0.0,-57.15
1212,2.7582,694.38,12.047,52.783
1213,0.38179,983.61,0.0,-57.15
1214,0.046748,1759.3,0.0,-57.15
1215,0.24336,1098.4,12.717,-55.717
1216,1.7487,656.5,0.0,57.15
1217,0.092542,23.9,0.0,-114.3
1218,1.0768,691.47,23.49,48.778
1219,0.051564,1006.0,0.0,-57.15
122,1.0347,-1693.3,20.324,16.208
1220,0.055855,781.69,0.0,-57.15
1221,0.28234,118.01,0.0,57.15
1222,1.7543,487.19,11.712,51.315
1223,0.027583,1249.2,0.0,57.15
1224,0.00088879,153.72,0.0,57.15
1225,0.076067,1156.7,0.0,-57.15
1226,2.2423,101.6,0.0,-57.15
