pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation
80,80,150,88.9,926.0,1221.0,7.62,29.0,1.5,69.9,95.25,22.4,63.5,-23.9,0.0,-95.25,55.6174,Fixed,Fixed,Fixed_Fixed,0.756
80,80,150,88.9,2847.0,1221.0,7.62,29.0,1.5,69.9,95.25,22.4,63.5,644.0,0.0,44.45,22.7881,Fixed,Fixed,Fixed_Fixed,4.043
80,80,150,88.9,1971.0,3618.0,7.62,29.0,1.5,69.9,95.25,22.4,63.5,-625.45,0.0,-44.45,12.1895,Fixed,Fixed,Fixed_Fixed,5.962
80,80,150,88.9,3579.0,3607.0,7.62,29.0,1.5,69.9,95.25,22.4,63.5,-69.9,-43.596,-8.6718,7.3116,Fixed,Fixed,Fixed_Fixed,7.509
80,80,150,88.9,2815.0,4516.0,7.62,29.0,1.5,69.9,95.25,22.4,63.5,-658.75,18.46,38.332,7.3294,Fixed,Fixed,Fixed_Fixed,10.102
80,80,300,88.9,1851.0,3591.0,7.62,57.0,1.5,79.2,107.95,26.9,63.5,-670.85,0.0,44.45,11.0465,Fixed,Fixed,Fixed_Fixed,4.461
80,80,300,88.9,1036.0,1477.0,7.62,57.0,1.5,79.2,107.95,26.9,63.5,-79.2,0.0,-44.45,34.5277,Fixed,Fixed,Fixed_Fixed,1.004
80,80,300,88.9,2102.0,2164.0,7.62,57.0,1.5,79.2,107.95,26.9,63.5,79.2,0.0,-44.45,14.4236,Fixed,Fixed,Fixed_Fixed,2.961
80,80,300,88.9,1356.0,2617.0,7.62,57.0,1.5,79.2,107.95,26.9,63.5,-439.15,0.0,-44.45,18.3394,Fixed,Fixed,Fixed_Fixed,2.639
80,80,300,88.9,2381.0,3830.0,7.62,57.0,1.5,79.2,107.95,26.9,63.5,-310.95,0.0,30.15,3.2969,Fixed,Fixed,Fixed_Fixed,10.807
80,80,600,88.9,2904.0,3766.0,7.62,76.0,6.4,82.6,104.8,31.8,63.5,-274.01,9.4672,41.478,6.4872,Fixed,Fixed,Fixed_Fixed,6.993
80,80,600,88.9,3698.0,1663.0,7.62,76.0,6.4,82.6,104.8,31.8,63.5,746.18,0.0,-44.45,11.014,Fixed,Fixed,Fixed_Fixed,4.637
80,80,600,88.9,620.0,2809.0,7.62,76.0,6.4,82.6,104.8,31.8,63.5,-935.25,0.0,-44.45,33.0226,Fixed,Fixed,Fixed_Fixed,3.354
80,80,600,88.9,4390.0,2290.0,7.62,76.0,6.4,82.6,104.8,31.8,63.5,755.66,0.0,44.45,7.1354,Fixed,Fixed,Fixed_Fixed,8.105
80,80,600,88.9,2115.0,2447.0,7.62,76.0,6.4,82.6,104.8,31.8,63.5,-82.6,0.0,-44.45,11.8536,Fixed,Fixed,Fixed_Fixed,3.206
80,80,150,88.9,2730.0,2796.0,7.62,21.75,1.5,69.9,95.25,22.4,63.5,-69.9,-41.066,-17.01,12.2101,Fixed,Fixed,Fixed_Fixed,4.414
80,80,150,88.9,4760.0,2767.0,7.62,21.75,1.5,69.9,95.25,22.4,63.5,802.19,8.6193,37.764,7.3723,Fixed,Fixed,Fixed_Fixed,12.063
80,80,150,88.9,3748.0,4485.0,7.62,21.75,1.5,69.9,95.25,22.4,63.5,-309.49,8.6193,37.764,5.9922,Fixed,Fixed,Fixed_Fixed,12.203
80,80,150,88.9,3064.0,2345.0,7.62,21.75,1.5,69.9,95.25,22.4,63.5,264.17,0.0,44.45,12.7397,Fixed,Fixed,Fixed_Fixed,5.294
80,80,150,88.9,1665.0,4945.0,7.62,21.75,1.5,69.9,95.25,22.4,63.5,-1506.0,9.8911,-43.336,10.5273,Fixed,Fixed,Fixed_Fixed,17.08
80,80,300,88.9,4192.0,1899.0,7.62,42.75,1.5,79.2,107.95,26.9,63.5,879.87,9.8911,43.336,10.041,Fixed,Fixed,Fixed_Fixed,8.389
80,80,300,88.9,4304.0,4782.0,7.62,42.75,1.5,79.2,107.95,26.9,63.5,-179.49,9.4672,41.478,4.3722,Fixed,Fixed,Fixed_Fixed,14.112
80,80,300,88.9,1949.0,4207.0,7.62,42.75,1.5,79.2,107.95,26.9,63.5,-882.76,0.0,44.45,9.8535,Fixed,Fixed,Fixed_Fixed,6.472
